,prob
0_DKK4_LRP6_2,0.5183959
0_DKK4_LRP6_3,0.52204055
0_DKK4_LRP6_4,0.5569549
0_DKK4_LRP6_5,0.4908905
0_DKK4_LRP6_6,0.51532054
0_LHB_LHCGR_0,0.51024
0_LHB_LHCGR_1,0.5094819
0_LHB_LHCGR_2,0.5094824
0_LHB_LHCGR_3,0.50480676
0_LHB_LHCGR_4,0.5468084
0_LHB_LHCGR_5,0.46644711
0_LHB_LHCGR_6,0.5059705
0_LHB_VIPR1_0,0.5114669
0_LHB_VIPR1_1,0.5103442
0_LHB_VIPR1_2,0.5103447
0_LHB_VIPR1_3,0.50604135
0_LHB_VIPR1_4,0.5477778
0_LHB_VIPR1_5,0.4692565
0_LHB_VIPR1_6,0.5068309
0_LHB_ADCYAP1R1_0,0.51056755
0_LHB_ADCYAP1R1_1,0.50970393
0_LHB_ADCYAP1R1_2,0.5097044
0_LHB_ADCYAP1R1_3,0.5051375
0_LHB_ADCYAP1R1_4,0.54706067
0_LHB_ADCYAP1R1_5,0.46728024
0_LHB_ADCYAP1R1_6,0.50619173
0_LHB_GPR84_0,0.5223126
0_LHB_GPR84_1,0.5177985
0_LHB_GPR84_2,0.51779896
0_LHB_GPR84_3,0.51699907
0_LHB_GPR84_4,0.55586886
0_LHB_GPR84_5,0.48511326
0_LHB_GPR84_6,0.5142908
0_LHB_ADRB3_0,0.5103504
0_LHB_ADRB3_1,0.5095622
0_LHB_ADRB3_2,0.50956273
0_LHB_ADRB3_3,0.504919
0_LHB_ADRB3_4,0.54689795
0_LHB_ADRB3_5,0.46684158
0_LHB_ADRB3_6,0.50605065
0_AMH_EGFR_0,0.51052624
0_AMH_EGFR_1,0.5096473
0_AMH_EGFR_2,0.5096478
0_AMH_EGFR_3,0.50509226
0_AMH_EGFR_4,0.5469906
0_AMH_EGFR_5,0.46739128
0_AMH_EGFR_6,0.50613564
0_AMH_ACVR1_0,0.5131784
0_AMH_ACVR1_1,0.5112811
0_AMH_ACVR1_2,0.51128155
0_AMH_ACVR1_3,0.5077498
0_AMH_ACVR1_4,0.54876643
0_AMH_ACVR1_5,0.473134
0_AMH_ACVR1_6,0.5077687
0_AMH_AMHR2_0,0.5100259
0_AMH_AMHR2_1,0.5093451
0_AMH_AMHR2_2,0.5093456
0_AMH_AMHR2_3,0.50459117
0_AMH_AMHR2_4,0.5466557
0_AMH_AMHR2_5,0.4660343
0_AMH_AMHR2_6,0.50583404
0_COMP_CD36_0,0.7741328
0_COMP_CD36_1,0.69576997
0_COMP_CD36_2,0.69577414
0_COMP_CD36_3,0.76789665
0_COMP_CD36_4,0.76092356
0_COMP_CD36_5,0.72911614
0_COMP_CD36_6,0.6609414
0_COMP_ITGB3_0,0.55447984
0_COMP_ITGB3_1,0.5288616
0_COMP_ITGB3_2,0.52886224
0_COMP_ITGB3_3,0.5411701
0_COMP_ITGB3_4,0.56650656
0_COMP_ITGB3_5,0.5379424
0_COMP_ITGB3_6,0.5253768
0_LAMB1_ITGA7_0,0.75315684
0_LAMB1_ITGA7_1,0.64028126
0_LAMB1_ITGA7_2,0.64028406
0_LAMB1_ITGA7_3,0.7960662
0_LAMB1_ITGA7_4,0.7535253
0_LAMB1_ITGA7_5,0.7189768
0_LAMB1_ITGA7_6,0.62196463
0_LAMB1_ITGA2_0,0.78376406
0_LAMB1_ITGA2_1,0.7018308
0_LAMB1_ITGA2_2,0.70183676
0_LAMB1_ITGA2_3,0.7962596
0_LAMB1_ITGA2_4,0.7782426
0_LAMB1_ITGA2_5,0.79156446
0_LAMB1_ITGA2_6,0.6681094
0_LAMB1_ITGA3_0,0.7818398
0_LAMB1_ITGA3_1,0.6791503
0_LAMB1_ITGA3_2,0.6791541
0_LAMB1_ITGA3_3,0.77297926
0_LAMB1_ITGA3_4,0.73769706
0_LAMB1_ITGA3_5,0.75464517
0_LAMB1_ITGA3_6,0.64433175
0_WNT16_FZD6_0,0.52815604
0_WNT16_FZD6_1,0.52759916
0_WNT16_FZD6_2,0.5275998
0_WNT16_FZD6_3,0.5361553
0_WNT16_FZD6_4,0.568734
0_WNT16_FZD6_5,0.49524954
0_WNT16_FZD6_6,0.52393436
0_PDAP1_PDGFRB_0,0.48002622
0_PDAP1_PDGFRB_1,0.35300303
0_PDAP1_PDGFRB_2,0.35300684
0_PDAP1_PDGFRB_3,0.4552816
0_PDAP1_PDGFRB_4,0.41591248
0_PDAP1_PDGFRB_5,0.52175355
0_PDAP1_PDGFRB_6,0.33379507
0_C5_GRM7_0,0.5133503
0_C5_GRM7_1,0.5113916
0_C5_GRM7_2,0.51139206
0_C5_GRM7_3,0.50794697
0_C5_GRM7_4,0.5489194
0_C5_GRM7_5,0.47360793
0_C5_GRM7_6,0.5078758
0_C5_C5AR2_0,0.5400664
0_C5_C5AR2_1,0.5286941
0_C5_C5AR2_2,0.5286946
0_C5_C5AR2_3,0.5344456
0_C5_C5AR2_4,0.56760603
0_C5_C5AR2_5,0.5064226
0_C5_C5AR2_6,0.52514696
0_C5_C5AR1_0,0.64679056
0_C5_C5AR1_1,0.60264015
0_C5_C5AR1_2,0.60264075
0_C5_C5AR1_3,0.6432366
0_C5_C5AR1_4,0.64431804
0_C5_C5AR1_5,0.6469233
0_C5_C5AR1_6,0.5995436
0_WNT3_RYK_0,0.5284061
0_WNT3_RYK_1,0.5206677
0_WNT3_RYK_2,0.5206682
0_WNT3_RYK_3,0.52311367
0_WNT3_RYK_4,0.559078
0_WNT3_RYK_5,0.49216834
0_WNT3_RYK_6,0.5171387
0_WNT3_ROR2_0,0.5155422
0_WNT3_ROR2_1,0.5118366
0_WNT3_ROR2_2,0.5118372
0_WNT3_ROR2_3,0.5099573
0_WNT3_ROR2_4,0.54932994
0_WNT3_ROR2_5,0.47700503
0_WNT3_ROR2_6,0.50831676
0_WNT3_FZD5_0,0.5185595
0_WNT3_FZD5_1,0.5144413
0_WNT3_FZD5_2,0.5144418
0_WNT3_FZD5_3,0.51321
0_WNT3_FZD5_4,0.5521988
0_WNT3_FZD5_5,0.48010483
0_WNT3_FZD5_6,0.5109227
0_WNT3_LRP6_0,0.5309803
0_WNT3_LRP6_1,0.52037024
0_WNT3_LRP6_2,0.5203709
0_WNT3_LRP6_3,0.52509034
0_WNT3_LRP6_4,0.5581976
0_WNT3_LRP6_5,0.49488363
0_WNT3_LRP6_6,0.5165356
0_CCL2_CCR4_0,0.73955894
0_CCL2_CCR4_1,0.70073265
0_CCL2_CCR4_2,0.7007394
0_CCL2_CCR4_3,0.7759249
0_CCL2_CCR4_4,0.7513194
0_CCL2_CCR4_5,0.7288678
0_CCL2_CCR4_6,0.6620802
0_CCL2_CCR1_0,0.8107516
0_CCL2_CCR1_1,0.75130564
0_CCL2_CCR1_2,0.7513111
0_CCL2_CCR1_3,0.8225048
0_CCL2_CCR1_4,0.81697065
0_CCL2_CCR1_5,0.81088257
